Alabama,6.8
Alaska,7
Arizona,6.7
Arkansas,6
California,7.5
Colorado,4.9
Connecticut,6.5
Delaware,5.8
District of Columbia,7.8
Florida,6.2
Georgia,7.2
Hawaii,4.4
Idaho,4.9
Illinois,7
Indiana,5.9
Iowa,4.3
Kansas,4.5
Kentucky,6.5
Louisiana,6.2
Maine,5.6
Maryland,5.8
Massachusetts,5.7
Michigan,7.2
Minnesota,4.1
Mississippi,7.6
Missouri,6.1
Montana,4.7
Nebraska,3.3
Nevada,7.9
New Hampshire,4.3
New Jersey,6.6
New Mexico,6.8
New York,6.3
North Carolina,6.3
North Dakota,2.6
Ohio,5.7
Oklahoma,4.4
Oregon,6.8
Pennsylvania,5.8
Rhode Island,7.7
South Carolina,6.3
South Dakota,3.4
Tennessee,6.5
Texas,5.1
Utah,3.7
Vermont,3.9
Virginia,5.2
Washington,6.1
West Virginia,6.6
Wisconsin,5.4
Wyoming,4.1